year,seas,fleet,catch,catch se
2007,4,1,0,0.01
2008,1,1,2.87,0.05
2008,2,1,0,0.01
2008,3,1,0,0.01
2008,4,1,0,0.01
2009,1,1,2.33,0.05
2009,2,1,0,0.01
2009,3,1,0,0.01
2009,4,1,0,0.01
2010,1,1,2.98,0.05
2010,2,1,0,0.01
2010,3,1,0,0.01
2010,4,1,0,0.01
2011,1,1,1.99,0.05
2011,2,1,0,0.01
2011,3,1,0,0.01
2011,4,1,0,0.01
2012,1,1,3.1,0.05
2012,2,1,0,0.01
2012,3,1,0,0.01
2012,4,1,0,0.01
2013,1,1,3.91,0.05
2013,2,1,0,0.01
2013,3,1,0,0.01
2013,4,1,0,0.01
2014,1,1,2.6,0.05
2014,2,1,0,0.01
2014,3,1,0,0.01
2014,4,1,0,0.01
2015,1,1,2.27,0.05
2015,2,1,0,0.01
2015,3,1,0,0.01
2015,4,1,0,0.01
2016,1,1,3.77,0.05
2016,2,1,0,0.01
2016,3,1,0,0.01
2016,4,1,0,0.01
2017,1,1,3.53,0.05
2017,2,1,0,0.01
2017,3,1,0,0.01
2017,4,1,0,0.01
2018,1,1,2.42,0.05
2018,2,1,0,0.01
2018,3,1,0,0.01
2018,4,1,0,0.01
2019,1,1,3.37,0.05
2019,2,1,0,0.01
2019,3,1,0,0.01
2019,4,1,0,0.01
2020,1,1,7.42,0.05
2020,2,1,0,0.01
2020,3,1,0,0.01
2020,4,1,0,0.01
-999,1,2,0,0.05
-999,2,2,0,0.01
-999,3,2,0,0.01
-999,4,2,0,0.01
#1975,1,2,8.1,0.05
#1975,2,2,0,0.01
#1975,3,2,0,0.01
#1975,4,2,0,0.01
#1976,1,2,10.44,0.05
#1976,2,2,0,0.01
#1976,3,2,0,0.01
#1976,4,2,0,0.01
1977,1,2,8,0.05
1977,2,2,0,0.01
1977,3,2,0,0.01
1977,4,2,0,0.01
1978,1,2,6.69,0.05
1978,2,2,0,0.01
1978,3,2,0,0.01
1978,4,2,0,0.01
1979,1,2,11.68,0.05
1979,2,2,0,0.01
1979,3,2,0,0.01
1979,4,2,0,0.01
1980,1,2,14.35,0.05
1980,2,2,0,0.01
1980,3,2,0,0.01
1980,4,2,0,0.01
1981,1,2,10.27,0.05
1981,2,2,0,0.01
1981,3,2,0,0.01
1981,4,2,0,0.01
1982,1,2,8.46,0.05
1982,2,2,0,0.01
1982,3,2,0,0.01
1982,4,2,0,0.01
1983,1,2,5.73,0.05
1983,2,2,0,0.01
1983,3,2,0,0.01
1983,4,2,0,0.01
1984,1,2,8.8,0.05
1984,2,2,0,0.01
1984,3,2,0,0.01
1984,4,2,0,0.01
1985,1,2,9.22,0.05
1985,2,2,0,0.01
1985,3,2,0,0.01
1985,4,2,0,0.01
1986,1,2,17.7,0.05
